CART POSITION,CART ACCELERATION,POLE POSITION,POLE FALLING,FORCE TO APPLY,Q,Usage/max,Usage/all,Usage/all %
LEFT,LEFT,MAX LEFT,LEFT,LEFT10,slightly bad,very low,very low,0.063028%
LEFT,LEFT,MAX LEFT,LEFT,RIGHT10,slightly bad,negligible,negligible,0.033914%
LEFT,LEFT,MAX LEFT,RIGHT,LEFT10,neutral,very low,very low,0.064748%
LEFT,LEFT,MAX LEFT,RIGHT,RIGHT10,neutral,negligible,negligible,0.033571%
LEFT,LEFT,MAX RIGHT,LEFT,LEFT10,neutral,negligible,negligible,0.044354%
LEFT,LEFT,MAX RIGHT,LEFT,RIGHT10,neutral,zero,zero,0.025306%
LEFT,LEFT,MAX RIGHT,RIGHT,LEFT10,neutral,negligible,negligible,0.044981%
LEFT,LEFT,MAX RIGHT,RIGHT,RIGHT10,neutral,zero,zero,0.025081%
LEFT,RIGHT,MAX LEFT,LEFT,LEFT10,slightly bad,very low,very low,0.063028%
LEFT,RIGHT,MAX LEFT,LEFT,RIGHT10,bad,negligible,negligible,0.033914%
LEFT,RIGHT,MAX LEFT,RIGHT,LEFT10,neutral,very low,very low,0.064748%
LEFT,RIGHT,MAX LEFT,RIGHT,RIGHT10,neutral,negligible,negligible,0.033571%
LEFT,RIGHT,MAX RIGHT,LEFT,LEFT10,neutral,negligible,negligible,0.044354%
LEFT,RIGHT,MAX RIGHT,LEFT,RIGHT10,neutral,zero,zero,0.025306%
LEFT,RIGHT,MAX RIGHT,RIGHT,LEFT10,neutral,negligible,negligible,0.044981%
LEFT,RIGHT,MAX RIGHT,RIGHT,RIGHT10,neutral,zero,zero,0.025081%
RIGHT,LEFT,MAX LEFT,LEFT,LEFT10,slightly bad,very low,very low,0.07473%
RIGHT,LEFT,MAX LEFT,LEFT,RIGHT10,bad,negligible,negligible,0.039669%
RIGHT,LEFT,MAX LEFT,RIGHT,LEFT10,neutral,very low,very low,0.077255%
RIGHT,LEFT,MAX LEFT,RIGHT,RIGHT10,neutral,negligible,negligible,0.03914%
RIGHT,LEFT,MAX RIGHT,LEFT,LEFT10,neutral,negligible,negligible,0.05061%
RIGHT,LEFT,MAX RIGHT,LEFT,RIGHT10,neutral,zero,zero,0.028255%
RIGHT,LEFT,MAX RIGHT,RIGHT,LEFT10,very bad,negligible,negligible,0.05144%
RIGHT,LEFT,MAX RIGHT,RIGHT,RIGHT10,bad,zero,zero,0.027921%
RIGHT,RIGHT,MAX LEFT,LEFT,LEFT10,slightly bad,very low,very low,0.07473%
RIGHT,RIGHT,MAX LEFT,LEFT,RIGHT10,bad,negligible,negligible,0.039669%
RIGHT,RIGHT,MAX LEFT,RIGHT,LEFT10,neutral,very low,very low,0.077255%
RIGHT,RIGHT,MAX LEFT,RIGHT,RIGHT10,neutral,negligible,negligible,0.03914%
RIGHT,RIGHT,MAX RIGHT,LEFT,LEFT10,neutral,negligible,negligible,0.05061%
RIGHT,RIGHT,MAX RIGHT,LEFT,RIGHT10,neutral,zero,zero,0.028255%
RIGHT,RIGHT,MAX RIGHT,RIGHT,LEFT10,bad,negligible,negligible,0.05144%
